sequence,Kingdom,Phylum,Class,Order,Family,Genus_water
H43-bin058_1,Bacteria,Patescibacteria,UBA1384,UBA12157,UBA12157,
H43-bin059_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H43-bin060_1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
H43-bin061_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,2-01-FULL-39-10-A
H43-bin062_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H43-bin063_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H43-bin064_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,
H43-bin065,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,ARS49,
H43-bin066_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,2-01-FULL-46-14-A
H43-bin067_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H43-bin068_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,GWA1-54-10
H43-bin069_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JWKY01
H43-bin070_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,,
H43-bin071,Bacteria,Patescibacteria,Andersenbacteria,UBA10190,UBA10190,HO2-45-11b
H43-bin072_1,Bacteria,Patescibacteria,Paceibacteria,WOR2-41-13_A,2-01-FULL-45-33,
H43-bin073_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H43-bin074_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H43-bin075_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,,
H43-bin076_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,GWA1-48-11
H43-bin077_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
H43-bin078_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,PFDC01,
H43-bin079_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H43-bin080,Bacteria,,,,,
H43-bin081_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,UBA11703
H43-bin082_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H43-bin083_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H43-bin084_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,
H43-bin085,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H43-bin086_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
H43-bin087_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,GW2011-AR20
H43-bin088_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,
H43-bin089_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H43-bin090,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,GWA1-54-10
H43-bin091_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H43-bin092_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H43-bin093_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H43-bin094_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H43-bin095_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H43-bin096_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H43-bin096_2,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H43-bin098_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,WO2-35-19
H43-bin099_1,Bacteria,Planctomycetota,Brocadiae,,,
H43-bin100_1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA2162,
H43-bin101_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H43-bin102_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,
H43-bin103_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,UBA9983
H43-bin104_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,
H43-bin105_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,
H43-bin106,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22
H43-bin107_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA6952,,
H43-bin108_1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,
H43-bin109_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H43-bin110_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA6899,UBA6899
H43-bin111_1,Bacteria,Chloroflexota,Dehalococcoidia,JdFR-54,,
H43-bin112_1,Bacteria,Patescibacteria,ABY1,BM507,GWE2-39-37,
H43-bin113_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,MFJZ01
H43-bin115_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,LOWO2-01-FULL-3,
H43-bin118_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H43-bin119_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H43-bin120_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,CSP1-6
H43-bin121_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,PALSA-1004
H43-bin122_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H43-bin123_1,Bacteria,Patescibacteria,Paceibacteria_A,Moranbacterales,UBA1568,UBA1568
H43-bin124_1,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
H43-bin125_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,
H43-bin126_1_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,
H43-bin127_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H43-bin128,Bacteria,Chloroflexota_A,Ellin6529,P2-11E,P2-11E,
H43-bin129_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H43-bin130,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
H43-bin131_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H43-bin132,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H43-bin133_1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12
H43-bin135_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H43-bin136_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,GWA2-37-10
H43-bin137_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,,
H43-bin138_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,GWA2-37-10
H43-bin139_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2686855
H43-bin140_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H43-bin141_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,UBA6715
H43-bin142_1,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27
H43-bin143_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22
H43-bin144_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H43-bin145_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,
H43-bin146_1,Bacteria,Patescibacteria,ABY1,SG8-24,GWF2-40-263,
H43-bin147_1,Bacteria,Patescibacteria,ABY1,UBA2591,PGYQ01,PGYQ01
H43-bin148,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,
H43-bin149,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA2162,
H43-bin150,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,UBA10204
H43-bin151_1,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619
H43-bin152_1,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila
H43-bin153_1,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,
H43-bin154,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21
H43-bin155,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10003,UBA10003
H43-bin156,Bacteria,GWC2-55-46,GWC2-55-46,,,
H43-bin158,Bacteria,Patescibacteria,ABY1,,,
H43-bin159_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
H43-bin160_1,Bacteria,Patescibacteria,ABY1,BM507,XYC2-FULL-47-12,2-12-FULL-45-10
H43-bin161_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,CG1-02-41-26
H43-bin162_1,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,
H43-bin163_1,Bacteria,Patescibacteria,UBA1384,XYA2-FULL-43-10,XYA2-FULL-43-10,
H43-bin164_1,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,,
H43-bin165_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H43-bin166_1,Bacteria,Patescibacteria,Paceibacteria_A,Moranbacterales,UBA1568,UBA1568
H43-bin167_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H43-bin168_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H43-bin169_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,IGHO2-01-FULL-4-A,2-01-FULL-44-17
H43-bin170_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H43-bin171_1,Bacteria,Patescibacteria,ABY1,UBA10025,PEXW01,
H43-bin172_1,Bacteria,RBG-13-66-14,,,,
H43-bin173_1,Bacteria,Bacteroidota,UBA10030,,,
H43-bin174_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H43-bin175_1,Bacteria,Patescibacteria,ABY1,UBA2591,PGYQ01,PGYQ01
H43-bin176_1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA2162,UBA2162
H43-bin177_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,
H43-bin178_1,Bacteria,UBA9089,UBA9088,UBA9088,,
H43-bin179_1,Archaea,Aenigmarchaeota,Aenigmarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5
H43-bin180,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,CG1-02-41-26
H43-bin181_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,2-02-FULL-48-14,2-02-FULL-48-14
H43-bin182_1,Bacteria,Patescibacteria,Paceibacteria,Portnoybacterales,GWB1-42-6,UBA8475
H43-bin183_1,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,2-12-FULL-50-11,
H43-bin184_1,Bacteria,Poribacteria,,,,
H43-bin185_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,HR35,LCBW01
H43-bin186_1,Bacteria,Patescibacteria,ABY1,UBA9629,UBA9629,
H43-bin187_1,Bacteria,Patescibacteria,ABY1,SG8-24,,
H43-bin188_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,GWA2-37-8,XYD2-FULL-39-9
H43-bin189_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,UBA10092,UBA10092
H43-bin190_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H43-bin191_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H43-bin192_1,Bacteria,Acidobacteriota,Acidobacteriae,UBA7541,UBA7541,
H43-bin193,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,UBA9983
H43-bin194_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,
H43-bin195_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,
H43-bin196_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H43-bin197_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231
H43-bin198_1,Bacteria,Chloroflexota_A,Ellin6529,P2-11E,P2-11E,
H43-bin199_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H43-bin199_2,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H43-bin200_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H43-bin201_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H43-bin202,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,
H43-bin203_1,Bacteria,Omnitrophota,koll11,GIF10,UBA12090,UBA12090
H43-bin204_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H43-bin205_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H43-bin206_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,
H43-bin207_1,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,,
H43-bin208_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22
H43-bin209_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Aurantimicrobium
H43-bin210_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H43-bin211_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,UBA12028,UBA12028
H43-bin212_1,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,
H43-bin213_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H43-bin214_1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA2396
H43-bin215_1,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,
H43-bin216_1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas
H43-bin217_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,,
H43-bin218,Bacteria,Patescibacteria,ABY1,SG8-24,GCA-002772895,
H43-bin219,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA6906,UBA11986
H43-bin220_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H43-bin221_1,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619
H43-bin222_1,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,
H43-bin223_1,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,
H43-bin224_1,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21
H43-bin225_1,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,SG8-4
H43-bin226_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,
H43-bin227_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H43-bin228_1,Bacteria,Margulisbacteria,GWF2-35-9,GWF2-35-9,GWF2-35-9,
H43-bin229_1,Bacteria,Patescibacteria,ABY1,BM507,GWE2-39-37,
H43-bin231_1,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,
H43-bin232,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR17,
H43-bin233_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,UM-FILTER-53-11,
H43-bin234_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,
H43-bin236_1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,,
H43-bin236_2,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,AV2,
H43-bin237_1,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA97,
H43-bin238_1,Bacteria,Patescibacteria,UBA1384,GWA2-35-9,CG2-30-39-44,CG2-30-39-44
H43-bin238_2,Bacteria,Patescibacteria,UBA1384,GWA2-35-9,CG2-30-39-44,CG2-30-39-44
H43-bin239_1,Bacteria,Patescibacteria,ABY1,SG8-24,GWF2-40-263,
H43-bin240_1,Archaea,Iainarchaeota,Iainarchaeia,,,
H51-bin001_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H51-bin002_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H51-bin003_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,GWA2-47-10b
H51-bin004_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H51-bin005_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H51-bin006_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,IGHO2-01-FULL-4-A,
H51-bin007_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,
H51-bin008_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
H51-bin009_1,Archaea,Nanoarchaeota,Nanoarchaeia,UBA10117,UBA10117,
H51-bin010_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,2-02-FULL-40-12,2-02-FULL-40-12
H51-bin011_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H51-bin012_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,
H51-bin013,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JWKY01
H51-bin014_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H51-bin015_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,UBA6901
H51-bin016_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H51-bin017_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,UBA8516
H51-bin018,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H51-bin019_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,
H51-bin020_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H51-bin021_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,2-02-FULL-40-12,2-02-FULL-40-12
H51-bin022,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JWKY01
H51-bin023_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,UBA6901
H51-bin024_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-01-FULL-41-21
H51-bin025_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,UBA10204
H51-bin026_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H51-bin027,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H51-bin028_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,
H51-bin029_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,WO2-44-18,2011-GWA2-47-8b
H51-bin030_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,2-02-FULL-40-12,2-02-FULL-40-12
H51-bin031_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,2-12-FULL-41-12,2-12-FULL-41-12
H51-bin032_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,UBA10102,O2-01-FULL-48-27b
H51-bin033_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,
H51-bin034,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H51-bin035_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H51-bin036_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H51-bin037_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,
H51-bin038_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,
H51-bin039,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,ARS1403,
H51-bin040_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,
H51-bin041_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H51-bin042_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,WO2-54-10
H51-bin043_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,UBA6065
H51-bin044_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H51-bin045,Bacteria,Patescibacteria,Paceibacteria,UBA6257,WO2-44-18,2-02-FULL-40-20
H51-bin046_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,IGHO2-01-FULL-4-A,
H51-bin047_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,
H51-bin048_1,Bacteria,Patescibacteria,Microgenomatia,Daviesbacterales,UBA10151,UBA9644
H51-bin049_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,MFAQ01,2-01-FULL-50-23
H51-bin049_2,Bacteria,Patescibacteria,Microgenomatia,UBA1400,MFAQ01,2-01-FULL-50-23
H51-bin050_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H51-bin051,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,
H51-bin052_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR18,
H51-bin053_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA10165,2-12-FULL-44-25
H51-bin054_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H51-bin055_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,2-12-FULL-40-12,
H51-bin056_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA12030,
H51-bin057_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,UBA489,
H51-bin058_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H51-bin059_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H51-bin060_1,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium
H51-bin061_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,
H51-bin062_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H51-bin063_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA11618,
H51-bin064_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,GW2011-AR20
H51-bin065_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,UBA10092,GWA1-42-19
H51-bin066_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H51-bin067_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,SM1-46
H51-bin068_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H51-bin069_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H51-bin070_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,2-02-FULL-40-12,2-02-FULL-40-12
H51-bin071_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,,
H51-bin072_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,UM-FILTER-39-64
H51-bin073_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H51-bin073_2,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H51-bin074_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,
H51-bin075_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H51-bin076_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GCA-2688095,GCA-2688095
H51-bin077,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H51-bin078_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H51-bin079_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,WO2-54-10
H51-bin080_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H51-bin081_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,
H51-bin082_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,ARS1285,ARS1285
H51-bin083_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H51-bin084_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H51-bin085_1,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,2-12-FULL-50-11,
H51-bin086,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H51-bin087_1,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,GW2011-AR10,
H51-bin088,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H51-bin089_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,UBA489,
